day group ht hg ag at
0 A Brazil 			3   1	Croatia	
1 A Mexico 			1   0	Cameroon
1 B Spain 			1   5	Netherlands
1 B Chile 			3   1	Australia
2 C Colombia 		3   0	Greece
2 D Uruguay 		1   3	CostaRica
2 D England 		1   2	Italy
2 C IvoryCoast 		2   1	Japan
3 E Switzerland 	2   1	Ecuador
3 E France 			3   0	Honduras
3 F Argentina 		2   1	Bosnia
4 G Germany 		4   0	Portugal
4 F Iran 			0   0	Nigeria
4 G Ghana 			1   2	UnitedStates
5 H Belgium 		2   1	Algeria
5 H Russia 			1   1	KoreaRepublic
5 A Brazil 			0   0	Mexico	
6 B Australia 		2   3	Netherlands
6 B Spain 			0   2	Chile
6 A Cameroon 		0   4	Croatia
7 C Colombia 		2   1	IvoryCoast
7 D Uruguay 		2   1	England
7 C Japan 			0   0	Greece
8 D Italy 			0   1	CostaRica
8 E Switzerland 	2   5	France
8 E Honduras 		1   2	Ecuador
9 F Argentina 		1   0	Iran
9 G Germany 		2   2	Ghana
9 F Nigeria 		1   0	Bosnia
10 H Belgium 		1   0	Russia
10 H KoreaRepublic	2   4	Algeria
10 G UnitedStates	2   2	Portugal
11 B Australia 		0   3	Spain
11 B Netherlands	2   0	Chile
11 A Brazil 		4   1	Cameroon
11 A Croatia 		1   3	Mexico
12 D CostaRica 		0   0	England
12 D Italy 			0   1	Uruguay
12 C Japan 			1   4	Colombia
12 C Greece 		2   1	IvoryCoast
13 F Nigeria 		2   3	Argentina
13 F Bosnia 		3   1	Iran
13 E Honduras 		0   3	Switzerland
13 E Ecuador 		0   0	France
14 G Portugal 		2   1	Ghana
14 G UnitedStates 	0   1	Germany
14 H Algeria 		1   1	Russia
14 H KoreaRepublic	0   1	Belgium
